time,ss_pv_power,ss_pv1_power,ss_pv2_power,ss_load_power,ss_grid_ct_power,ss_battery_power,ss_pv1_voltage,ss_pv2_voltage,ss_day_pv_energy,ss_day_load_energy,ss_day_grid_import,ss_day_grid_export,ss_day_battery_charge,ss_day_battery_discharge,ss_battery_soc,battery_temp
2025-11-21T00:01:00.428854+02:00,0,0,0,922,18,1014,2.5,1.035,21.1,23,6.3,1.2,10.5,9.3,21,11.725
2025-11-21T00:02:00.429077+02:00,0,0,0,1021,1103,23,2.5,1.035,21.1,23,6.3,1.2,10.5,9.3,21,11.725
2025-11-21T00:03:00.429106+02:00,0,0,0,1110,1187,23,2.5,1.035,21.1,23,6.3,1.2,10.5,9.3,21,11.725
2025-11-21T00:04:00.428275+02:00,0,0,0,1118,1218,22,2.5,1.035,21.1,23,6.3,1.2,10.5,9.3,21,11.725
2025-11-21T00:05:00.430419+02:00,0,0,0,1242,1324,20,2.5,1.035,21.1,23,6.3,1.2,10.5,9.3,21,11.725
2025-11-21T00:06:00.430417+02:00,0,0,0,1077,1153,-1,2.575,1,0,0,0,0,0,0,20,11.7
2025-11-21T00:07:00.429391+02:00,0,0,0,1028,1129,1,2.575,1,0,0,0,0,0,0,20,11.7
2025-11-21T00:08:00.429109+02:00,0,0,0,958,1037,0,2.575,1,0,0,0,0,0,0,20,11.7
2025-11-21T00:09:00.429500+02:00,0,0,0,1144,1231,22,2.575,1,0,0,0,0,0,0,20,11.7
2025-11-21T00:10:00.430086+02:00,0,0,0,1108,1174,17,2.575,1,0,0,0,0,0,0,20,11.7
2025-11-21T00:11:00.429061+02:00,0,0,0,1077,1162,16,2.51,0.985,0,0.1,0.1,0,0,0,20,11.7
2025-11-21T00:12:00.428752+02:00,0,0,0,1094,1163,24,2.51,0.985,0,0.1,0.1,0,0,0,20,11.7
2025-11-21T00:13:00.429884+02:00,0,0,0,944,1028,-1,2.51,0.985,0,0.1,0.1,0,0,0,20,11.7
2025-11-21T00:14:00.429167+02:00,0,0,0,921,981,10,2.51,0.985,0,0.1,0.1,0,0,0,20,11.7
2025-11-21T00:15:00.429443+02:00,0,0,0,874,991,-69,2.51,0.985,0,0.1,0.1,0,0,0,20,11.7
2025-11-21T00:16:00.428994+02:00,0,0,0,880,969,-3,2.52,0.96,0,0.1,0.1,0,0,0,20,11.7
2025-11-21T00:17:00.429022+02:00,0,0,0,890,968,0,2.52,0.96,0,0.1,0.1,0,0,0,20,11.7
2025-11-21T00:18:00.428184+02:00,0,0,0,939,1026,1,2.52,0.96,0,0.1,0.1,0,0,0,20,11.7
2025-11-21T00:19:00.429758+02:00,0,0,0,1027,1116,26,2.52,0.96,0,0.1,0.1,0,0,0,20,11.7
2025-11-21T00:20:00.431049+02:00,0,0,0,915,956,-1,2.52,0.96,0,0.1,0.1,0,0,0,20,11.7
2025-11-21T00:21:00.429521+02:00,0,0,0,925,977,7,2.515,0.93,0,0.3,0.3,0,0,0,20,11.6
2025-11-21T00:22:00.428439+02:00,0,0,0,906,995,-3,2.515,0.93,0,0.3,0.3,0,0,0,20,11.6
2025-11-21T00:23:00.428262+02:00,0,0,0,956,1031,31,2.515,0.93,0,0.3,0.3,0,0,0,20,11.6
2025-11-21T00:24:00.429361+02:00,0,0,0,981,1061,23,2.515,0.93,0,0.3,0.3,0,0,0,20,11.6
2025-11-21T00:25:00.429381+02:00,0,0,0,985,1070,23,2.515,0.93,0,0.3,0.3,0,0,0,20,11.6
2025-11-21T00:26:00.429174+02:00,0,0,0,982,1068,22,2.53,0.99,0,0.3,0.3,0,0,0,20,11.6
2025-11-21T00:27:00.428693+02:00,0,0,0,836,914,3,2.53,0.99,0,0.3,0.3,0,0,0,20,11.6
2025-11-21T00:28:00.428712+02:00,0,0,0,814,905,-15,2.53,0.99,0,0.3,0.3,0,0,0,20,11.6
2025-11-21T00:29:00.428831+02:00,0,0,0,852,953,-6,2.53,0.99,0,0.3,0.3,0,0,0,20,11.6
2025-11-21T00:30:00.429741+02:00,0,0,0,1012,1096,24,2.53,0.99,0,0.3,0.3,0,0,0,20,11.6
2025-11-21T00:31:00.428637+02:00,0,0,0,1006,1088,25,2.54,1.015,0,0.4,0.4,0,0,0,20,11.6
2025-11-21T00:32:00.429676+02:00,0,0,0,1005,1086,26,2.54,1.015,0,0.4,0.4,0,0,0,20,11.6
2025-11-21T00:33:00.428667+02:00,0,0,0,949,1058,20,2.54,1.015,0,0.4,0.4,0,0,0,20,11.6
2025-11-21T00:34:00.428709+02:00,0,0,0,914,1017,-15,2.54,1.015,0,0.4,0.4,0,0,0,20,11.6
2025-11-21T00:35:00.430256+02:00,0,0,0,867,980,-11,2.54,1.015,0,0.4,0.4,0,0,0,20,11.6
2025-11-21T00:36:00.429000+02:00,0,0,0,968,1050,-11,2.535,1.025,0,0.4,0.4,0,0,0,20,11.6
2025-11-21T00:37:00.428567+02:00,0,0,0,973,1054,-9,2.535,1.025,0,0.4,0.4,0,0,0,20,11.6
2025-11-21T00:38:00.429792+02:00,0,0,0,995,1044,8,2.535,1.025,0,0.4,0.4,0,0,0,20,11.6
2025-11-21T00:39:00.428798+02:00,0,0,0,976,1060,8,2.535,1.025,0,0.4,0.4,0,0,0,20,11.6
2025-11-21T00:40:00.429636+02:00,0,0,0,961,1046,14,2.535,1.025,0,0.4,0.4,0,0,0,20,11.6
2025-11-21T00:41:00.428885+02:00,0,0,0,972,1051,8,2.5,1.02,0,0.6,0.6,0,0,0,20,11.535
2025-11-21T00:42:00.428423+02:00,0,0,0,851,968,-22,2.5,1.02,0,0.6,0.6,0,0,0,20,11.535
2025-11-21T00:43:00.428483+02:00,0,0,0,875,957,-9,2.5,1.02,0,0.6,0.6,0,0,0,20,11.535
2025-11-21T00:44:00.429481+02:00,0,0,0,871,945,-10,2.5,1.02,0,0.6,0.6,0,0,0,20,11.535
2025-11-21T00:45:00.430737+02:00,0,0,0,987,1071,7,2.5,1.02,0,0.6,0.6,0,0,0,20,11.535
2025-11-21T00:46:00.428999+02:00,0,0,0,935,1023,6,2.52,1.055,0,0.6,0.6,0,0,0,20,11.5
2025-11-21T00:47:00.429179+02:00,0,0,0,951,1020,15,2.52,1.055,0,0.6,0.6,0,0,0,20,11.5
2025-11-21T00:48:00.429000+02:00,0,0,0,1023,1113,13,2.52,1.055,0,0.6,0.6,0,0,0,20,11.5
