time,ss_pv_power,ss_pv1_power,ss_pv2_power,ss_load_power,ss_grid_ct_power,ss_battery_power,ss_pv1_voltage,ss_pv2_voltage,ss_day_pv_energy,ss_day_load_energy,ss_day_grid_import,ss_day_grid_export,ss_day_battery_charge,ss_day_battery_discharge,ss_battery_soc,battery_temp
2025-11-30T00:01:00.132897+02:00,0,0,0,961,1048,-48,2.537,2.9,2.4,26.2,26,0.1,1.3,0.9,20,6.8
2025-11-30T00:02:00.132194+02:00,0,0,0,1000,1130,-74,2.537,2.9,2.4,26.2,26,0.1,1.3,0.9,20,6.8
2025-11-30T00:03:00.132944+02:00,0,0,0,969,1059,-13,2.537,2.9,2.4,26.2,26,0.1,1.3,0.9,20,6.8
2025-11-30T00:04:00.133881+02:00,0,0,0,980,1062,-5,2.537,2.9,2.4,26.2,26,0.1,1.3,0.9,20,6.8
2025-11-30T00:05:00.132073+02:00,0,0,0,908,994,-3,2.537,2.9,2.4,26.2,26,0.1,1.3,0.9,20,6.8
2025-11-30T00:06:00.133545+02:00,0,0,0,885,972,-9,2.648,3.029,0,0,0,0,0,0,20,6.8
2025-11-30T00:07:00.132752+02:00,0,0,0,796,858,13,2.648,3.029,0,0,0,0,0,0,20,6.8
2025-11-30T00:08:00.133969+02:00,0,0,0,768,913,-20,2.648,3.029,0,0,0,0,0,0,20,6.8
2025-11-30T00:09:00.135273+02:00,0,0,0,859,925,17,2.648,3.029,0,0,0,0,0,0,20,6.8
2025-11-30T00:10:00.131994+02:00,0,0,0,881,953,6,2.648,3.029,0,0,0,0,0,0,20,6.8
2025-11-30T00:11:00.133649+02:00,0,0,0,887,973,3,2.65,3.105,0,0.1,0.1,0,0,0,20,6.8
2025-11-30T00:12:00.133953+02:00,0,0,0,808,920,-6,2.65,3.105,0,0.1,0.1,0,0,0,20,6.8
2025-11-30T00:13:00.133288+02:00,0,0,0,889,958,7,2.65,3.105,0,0.1,0.1,0,0,0,20,6.8
2025-11-30T00:14:00.132942+02:00,0,0,0,893,968,13,2.65,3.105,0,0.1,0.1,0,0,0,20,6.8
