time,ss_pv_power,ss_pv1_power,ss_pv2_power,ss_load_power,ss_grid_ct_power,ss_battery_power,ss_pv1_voltage,ss_pv2_voltage,ss_day_pv_energy,ss_day_load_energy,ss_day_grid_import,ss_day_grid_export,ss_day_battery_charge,ss_day_battery_discharge,ss_battery_soc,battery_temp
2025-11-22T08:55:00.496665+02:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2025-11-22T08:56:00.477422+02:00,406,168,238,530,614,-454,381.215,391.78,0,6.5,1.2,0,0,5.9,20.6,11.3
2025-11-22T08:57:00.477452+02:00,418,176,242,578,0,180,381.215,391.78,0,6.5,1.2,0,0,5.9,20.6,11.3
2025-11-22T08:58:00.476984+02:00,410,173,237,577,27,151,381.215,391.78,0,6.5,1.2,0,0,5.9,20.6,11.3
2025-11-22T08:59:00.476850+02:00,284,130,154,525,606,-329,381.215,391.78,0,6.5,1.2,0,0,5.9,20.6,11.3
2025-11-22T09:00:00.476149+02:00,234,95,139,672,578,-273,381.215,391.78,0,6.5,1.2,0,0,5.9,20.6,11.3
2025-11-22T09:01:00.476746+02:00,216,73,143,751,573,331,358.06,344.51,0.1,6.6,1.3,0,0.1,6,20.6,11.205
2025-11-22T09:02:00.476709+02:00,162,58,104,599,7,461,358.06,344.51,0.1,6.6,1.3,0,0.1,6,20.6,11.205
2025-11-22T09:03:00.476934+02:00,144,54,90,535,601,644,358.06,344.51,0.1,6.6,1.3,0,0.1,6,20.6,11.205
2025-11-22T09:04:00.477723+02:00,168,60,108,540,8,375,358.06,344.51,0.1,6.6,1.3,0,0.1,6,20.6,11.205
2025-11-22T09:05:00.476555+02:00,182,63,119,651,43,458,358.06,344.51,0.1,6.6,1.3,0,0.1,6,20.6,11.205
2025-11-22T09:06:00.478382+02:00,186,67,119,1072,452,496,350.065,323.81,0.1,6.6,1.3,0,0.1,6,20.3,11.2
2025-11-22T09:07:00.476499+02:00,214,77,137,666,40,442,350.065,323.81,0.1,6.6,1.3,0,0.1,6,20.3,11.2
2025-11-22T09:08:00.477395+02:00,227,83,144,559,652,-271,350.065,323.81,0.1,6.6,1.3,0,0.1,6,20.3,11.2
2025-11-22T09:09:00.476960+02:00,250,96,154,589,656,-302,350.065,323.81,0.1,6.6,1.3,0,0.1,6,20.3,11.2
2025-11-22T09:10:00.477847+02:00,261,95,166,583,668,-303,350.065,323.81,0.1,6.6,1.3,0,0.1,6,20.3,11.2
2025-11-22T09:11:00.477313+02:00,225,76,149,564,655,-266,348.525,381.245,0.1,6.7,1.3,0,0.1,6,20.45,11.2
2025-11-22T09:12:00.476696+02:00,176,58,118,562,734,-234,348.525,381.245,0.1,6.7,1.3,0,0.1,6,20.45,11.2
2025-11-22T09:13:00.476688+02:00,160,58,102,703,788,-204,348.525,381.245,0.1,6.7,1.3,0,0.1,6,20.45,11.2
2025-11-22T09:14:00.477625+02:00,178,67,111,775,525,797,348.525,381.245,0.1,6.7,1.3,0,0.1,6,20.45,11.2
2025-11-22T09:15:00.477418+02:00,218,84,134,626,724,-259,348.525,381.245,0.1,6.7,1.3,0,0.1,6,20.45,11.2
2025-11-22T09:16:00.476657+02:00,276,109,167,734,22,454,331.77,335.08,0.1,6.7,1.3,0,0.1,6,20.25,11.115
2025-11-22T09:17:00.478444+02:00,336,135,201,644,725,-382,331.77,335.08,0.1,6.7,1.3,0,0.1,6,20.25,11.115
2025-11-22T09:18:00.477658+02:00,380,153,227,642,723,-413,331.77,335.08,0.1,6.7,1.3,0,0.1,6,20.25,11.115
2025-11-22T09:19:00.478511+02:00,402,172,230,715,25,300,331.77,335.08,0.1,6.7,1.3,0,0.1,6,20.25,11.115
2025-11-22T09:20:00.478510+02:00,419,176,243,714,26,272,331.77,335.08,0.1,6.7,1.3,0,0.1,6,20.25,11.115
2025-11-22T09:21:00.481988+02:00,377,163,214,627,715,-423,370.03,373.77,0.1,6.8,1.4,0,0.1,6,20.65,11.1
