time,ss_pv_power,ss_pv1_power,ss_pv2_power,ss_load_power,ss_grid_ct_power,ss_battery_power,ss_pv1_voltage,ss_pv2_voltage,ss_day_pv_energy,ss_day_load_energy,ss_day_grid_import,ss_day_grid_export,ss_day_battery_charge,ss_day_battery_discharge,ss_battery_soc,battery_temp
2025-11-25T12:36:00.136321+02:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2025-11-25T12:37:00.132332+02:00,1595,775,820,861,35,-740,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2025-11-25T12:38:00.133735+02:00,1542,754,788,874,9,-610,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2025-11-25T12:39:00.134216+02:00,1447,704,743,567,-194,-766,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2025-11-25T12:40:00.132961+02:00,1348,655,693,794,21,-514,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2025-11-25T12:41:00.133208+02:00,1263,616,647,800,45,-476,396.24,400.68,4.9,12.5,8.5,0,2.3,2.3,28,11.57
2025-11-25T12:42:00.134093+02:00,1195,582,613,780,23,-416,396.24,400.68,4.9,12.5,8.5,0,2.3,2.3,28,11.57
2025-11-25T12:43:00.133236+02:00,1203,587,616,788,20,-400,396.24,400.68,4.9,12.5,8.5,0,2.3,2.3,28,11.57
2025-11-25T12:44:00.132914+02:00,995,502,493,821,-17,-135,396.24,400.68,4.9,12.5,8.5,0,2.3,2.3,28,11.57
2025-11-25T12:45:00.134030+02:00,967,470,497,914,37,-95,396.24,400.68,4.9,12.5,8.5,0,2.3,2.3,28,11.57
2025-11-25T12:46:00.133172+02:00,918,443,475,927,22,5,392.055,391.155,4.9,12.5,8.5,0,2.3,2.3,28,11.645
2025-11-25T12:47:00.133825+02:00,874,426,448,795,31,-111,392.055,391.155,4.9,12.5,8.5,0,2.3,2.3,28,11.645
2025-11-25T12:48:00.133031+02:00,885,428,457,716,38,-177,392.055,391.155,4.9,12.5,8.5,0,2.3,2.3,28,11.645
2025-11-25T12:49:00.132621+02:00,941,461,480,695,17,-197,392.055,391.155,4.9,12.5,8.5,0,2.3,2.3,28,11.645
2025-11-25T12:50:00.133702+02:00,1024,496,528,814,33,-240,392.055,391.155,4.9,12.5,8.5,0,2.3,2.3,28,11.645
2025-11-25T12:51:00.133629+02:00,1142,559,583,865,29,-259,394.332,401.963,5.1,12.6,8.5,0,2.4,2.3,28,11.705
2025-11-25T12:52:00.132234+02:00,1294,632,662,647,-8,-595,394.332,401.963,5.1,12.6,8.5,0,2.4,2.3,28,11.705
2025-11-25T12:53:00.132640+02:00,1570,766,804,739,16,-868,394.332,401.963,5.1,12.6,8.5,0,2.4,2.3,28,11.705
2025-11-25T12:54:00.134170+02:00,1644,806,838,669,14,-928,394.332,401.963,5.1,12.6,8.5,0,2.4,2.3,28,11.705
2025-11-25T12:55:00.132339+02:00,1760,860,900,790,13,-938,394.332,401.963,5.1,12.6,8.5,0,2.4,2.3,28,11.705
2025-11-25T12:56:00.132939+02:00,1937,948,989,800,9,-1108,396.74,404.44,5.1,12.6,8.5,0,2.4,2.3,28.65,11.8
2025-11-25T12:57:00.133801+02:00,2110,1037,1073,873,49,-1216,396.74,404.44,5.1,12.6,8.5,0,2.4,2.3,28.65,11.8
2025-11-25T12:58:00.134138+02:00,2199,1082,1117,930,26,-1217,396.74,404.44,5.1,12.6,8.5,0,2.4,2.3,28.65,11.8
2025-11-25T12:59:00.134162+02:00,2207,1086,1121,827,-16,-1315,396.74,404.44,5.1,12.6,8.5,0,2.4,2.3,28.65,11.8
2025-11-25T13:00:00.134517+02:00,2199,1085,1114,853,-23,-1192,396.74,404.44,5.1,12.6,8.5,0,2.4,2.3,28.65,11.8
2025-11-25T13:01:00.133223+02:00,2220,1091,1129,885,1,-1277,399.075,403.98,5.3,12.8,8.5,0,2.5,2.3,29,11.855
2025-11-25T13:02:00.134902+02:00,2287,1125,1162,789,26,-1465,399.075,403.98,5.3,12.8,8.5,0,2.5,2.3,29,11.855
2025-11-25T13:03:00.133403+02:00,2336,1147,1189,817,11,-1497,399.075,403.98,5.3,12.8,8.5,0,2.5,2.3,29,11.855
2025-11-25T13:04:00.134276+02:00,2437,1196,1241,796,25,-1605,399.075,403.98,5.3,12.8,8.5,0,2.5,2.3,29,11.855
2025-11-25T13:05:00.132153+02:00,2456,1201,1255,798,17,-1630,399.075,403.98,5.3,12.8,8.5,0,2.5,2.3,29,11.855
2025-11-25T13:06:00.132066+02:00,2462,1206,1256,925,24,-1480,402.71,402.325,5.3,12.8,8.5,0,2.5,2.3,29.7,11.96
2025-11-25T13:07:00.135024+02:00,2421,1180,1241,781,31,-1616,402.71,402.325,5.3,12.8,8.5,0,2.5,2.3,29.7,11.96
2025-11-25T13:08:00.133422+02:00,2346,1145,1201,847,14,-1419,402.71,402.325,5.3,12.8,8.5,0,2.5,2.3,29.7,11.96
2025-11-25T13:09:00.132668+02:00,2322,1139,1183,885,12,-1373,402.71,402.325,5.3,12.8,8.5,0,2.5,2.3,29.7,11.96
2025-11-25T13:10:00.132268+02:00,2306,1131,1175,848,2,-1374,402.71,402.325,5.3,12.8,8.5,0,2.5,2.3,29.7,11.96
2025-11-25T13:11:00.132707+02:00,4245,2079,2166,1057,-1080,-2010,405.05,404.135,5.7,12.9,8.5,0,2.7,2.3,30.25,12.08
2025-11-25T13:12:00.132385+02:00,1749,852,897,908,-15,-870,405.05,404.135,5.7,12.9,8.5,0,2.7,2.3,30.25,12.08
2025-11-25T13:13:00.132181+02:00,1581,768,813,873,9,-678,405.05,404.135,5.7,12.9,8.5,0,2.7,2.3,30.25,12.08
