time,ss_pv_power,ss_pv1_power,ss_pv2_power,ss_load_power,ss_grid_ct_power,ss_battery_power,ss_pv1_voltage,ss_pv2_voltage,ss_day_pv_energy,ss_day_load_energy,ss_day_grid_import,ss_day_grid_export,ss_day_battery_charge,ss_day_battery_discharge,ss_battery_soc,battery_temp
2025-12-04T12:58:00.257009+02:00,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2025-12-04T12:59:00.250736+02:00,4117,2031,2086,2873,5,-1196,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2025-12-04T13:00:00.252454+02:00,3906,1921,1985,2749,-43,-1018,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
2025-12-04T13:01:00.251266+02:00,3367,1653,1714,2721,42,-565,390.545,392.77,8.6,12.2,10.4,2.3,3.9,0.4,36,10.695
2025-12-04T13:02:00.251394+02:00,2760,1352,1408,3046,212,52,390.545,392.77,8.6,12.2,10.4,2.3,3.9,0.4,36,10.695
2025-12-04T13:03:00.251625+02:00,2462,1211,1251,2790,-2,328,390.545,392.77,8.6,12.2,10.4,2.3,3.9,0.4,36,10.695
2025-12-04T13:04:00.250781+02:00,2941,1440,1501,2961,20,75,390.545,392.77,8.6,12.2,10.4,2.3,3.9,0.4,36,10.695
2025-12-04T13:05:00.250669+02:00,2594,1270,1324,2784,67,-64,390.545,392.77,8.6,12.2,10.4,2.3,3.9,0.4,36,10.695
2025-12-04T13:06:00.250678+02:00,2459,1199,1260,3005,10,558,390.505,394.17,8.6,12.2,10.4,2.3,3.9,0.4,36,10.895
2025-12-04T13:07:00.250403+02:00,2217,1083,1134,2932,1,827,390.505,394.17,8.6,12.2,10.4,2.3,3.9,0.4,36,10.895
2025-12-04T13:08:00.250493+02:00,1941,945,996,2921,30,967,390.505,394.17,8.6,12.2,10.4,2.3,3.9,0.4,36,10.895
2025-12-04T13:09:00.250784+02:00,1593,773,820,2868,33,1232,390.505,394.17,8.6,12.2,10.4,2.3,3.9,0.4,36,10.895
2025-12-04T13:10:00.250941+02:00,1513,734,779,2817,6,1327,390.505,394.17,8.6,12.2,10.4,2.3,3.9,0.4,36,10.895
2025-12-04T13:11:00.250606+02:00,1422,690,732,2845,-6,1224,389.305,394.07,9.1,12.7,10.4,2.3,3.9,0.4,36,11.035
2025-12-04T13:12:00.251171+02:00,1203,633,570,2978,-43,1787,389.305,394.07,9.1,12.7,10.4,2.3,3.9,0.4,36,11.035
2025-12-04T13:13:00.250915+02:00,1250,603,647,2671,-55,1603,389.305,394.07,9.1,12.7,10.4,2.3,3.9,0.4,36,11.035
2025-12-04T13:14:00.250709+02:00,1213,587,626,822,21,-351,389.305,394.07,9.1,12.7,10.4,2.3,3.9,0.4,36,11.035
2025-12-04T13:15:00.251468+02:00,1185,569,616,779,37,-193,389.305,394.07,9.1,12.7,10.4,2.3,3.9,0.4,36,11.035
2025-12-04T13:16:00.251765+02:00,1163,559,604,1036,-24,-79,390.355,380.59,9.1,12.7,10.4,2.3,3.9,0.4,35.7,11.12
2025-12-04T13:17:00.250488+02:00,1147,550,597,1118,5,-14,390.355,380.59,9.1,12.7,10.4,2.3,3.9,0.4,35.7,11.12
2025-12-04T13:18:00.251033+02:00,1120,534,586,987,20,-90,390.355,380.59,9.1,12.7,10.4,2.3,3.9,0.4,35.7,11.12
2025-12-04T13:19:00.250581+02:00,1103,524,579,996,6,-103,390.355,380.59,9.1,12.7,10.4,2.3,3.9,0.4,35.7,11.12
2025-12-04T13:20:00.250969+02:00,1089,522,567,1219,256,-217,390.355,380.59,9.1,12.7,10.4,2.3,3.9,0.4,35.7,11.12
2025-12-04T13:21:00.251108+02:00,1072,510,562,817,32,-237,392.325,397.615,9.3,13,10.4,2.3,3.9,0.5,36,11.215
2025-12-04T13:22:00.251501+02:00,1056,509,547,1005,5,-65,392.325,397.615,9.3,13,10.4,2.3,3.9,0.5,36,11.215
2025-12-04T13:23:00.251123+02:00,1051,505,546,1005,30,-55,392.325,397.615,9.3,13,10.4,2.3,3.9,0.5,36,11.215
2025-12-04T13:24:00.252407+02:00,1036,497,539,1038,31,-41,392.325,397.615,9.3,13,10.4,2.3,3.9,0.5,36,11.215
2025-12-04T13:25:00.250288+02:00,1028,492,536,1005,5,-18,392.325,397.615,9.3,13,10.4,2.3,3.9,0.5,36,11.215
2025-12-04T13:26:00.251055+02:00,1019,492,527,1023,34,5,393.325,396.47,9.3,13,10.4,2.3,3.9,0.5,36,11.3
2025-12-04T13:27:00.250712+02:00,1005,488,517,934,-80,39,393.325,396.47,9.3,13,10.4,2.3,3.9,0.5,36,11.3
2025-12-04T13:28:00.250978+02:00,1010,485,525,1084,162,-69,393.325,396.47,9.3,13,10.4,2.3,3.9,0.5,36,11.3
2025-12-04T13:29:00.250361+02:00,946,479,467,905,59,-102,393.325,396.47,9.3,13,10.4,2.3,3.9,0.5,36,11.3
2025-12-04T13:30:00.251195+02:00,972,481,491,2015,-134,1214,393.325,396.47,9.3,13,10.4,2.3,3.9,0.5,36,11.3
2025-12-04T13:31:00.251879+02:00,944,478,466,2249,7,1265,393.065,364.5,9.5,13.2,10.4,2.3,4,0.5,35.9,11.395
2025-12-04T13:32:00.250466+02:00,932,476,456,2236,7,1303,393.065,364.5,9.5,13.2,10.4,2.3,4,0.5,35.9,11.395
2025-12-04T13:33:00.250627+02:00,993,476,517,2214,17,1196,393.065,364.5,9.5,13.2,10.4,2.3,4,0.5,35.9,11.395
2025-12-04T13:34:00.250160+02:00,983,473,510,2192,4,1190,393.065,364.5,9.5,13.2,10.4,2.3,4,0.5,35.9,11.395
2025-12-04T13:35:00.250940+02:00,981,468,513,1937,4,962,393.065,364.5,9.5,13.2,10.4,2.3,4,0.5,35.9,11.395
2025-12-04T13:36:00.251064+02:00,960,461,499,2282,288,1231,391.54,381.23,9.5,13.2,10.4,2.3,4,0.5,35,11.485
2025-12-04T13:37:00.251083+02:00,942,447,495,1806,-168,1126,391.54,381.23,9.5,13.2,10.4,2.3,4,0.5,35,11.485
2025-12-04T13:38:00.252014+02:00,938,450,488,2087,14,1152,391.54,381.23,9.5,13.2,10.4,2.3,4,0.5,35,11.485
2025-12-04T13:39:00.251923+02:00,930,445,485,1865,8,954,391.54,381.23,9.5,13.2,10.4,2.3,4,0.5,35,11.485
2025-12-04T13:40:00.250792+02:00,915,437,478,1857,11,959,391.54,381.23,9.5,13.2,10.4,2.3,4,0.5,35,11.485
2025-12-04T13:41:00.251266+02:00,896,426,470,2056,23,1128,395.725,399.245,9.6,13.5,10.4,2.3,4,0.7,34.75,11.545
2025-12-04T13:42:00.251620+02:00,878,420,458,1758,9,1161,395.725,399.245,9.6,13.5,10.4,2.3,4,0.7,34.75,11.545
2025-12-04T13:43:00.251079+02:00,865,412,453,1827,36,948,395.725,399.245,9.6,13.5,10.4,2.3,4,0.7,34.75,11.545
2025-12-04T13:44:00.250876+02:00,849,406,443,2002,-79,1153,395.725,399.245,9.6,13.5,10.4,2.3,4,0.7,34.75,11.545
2025-12-04T13:45:00.251470+02:00,836,398,438,2006,11,1160,395.725,399.245,9.6,13.5,10.4,2.3,4,0.7,34.75,11.545
2025-12-04T13:46:00.251442+02:00,823,393,430,1736,-168,988,390.83,399.295,9.6,13.5,10.4,2.3,4,0.7,34,11.6
2025-12-04T13:47:00.253558+02:00,820,395,425,1780,34,955,390.83,399.295,9.6,13.5,10.4,2.3,4,0.7,34,11.6
2025-12-04T13:48:00.253263+02:00,791,370,421,1969,11,1200,390.83,399.295,9.6,13.5,10.4,2.3,4,0.7,34,11.6
2025-12-04T13:49:00.250556+02:00,800,383,417,1974,5,1172,390.83,399.295,9.6,13.5,10.4,2.3,4,0.7,34,11.6
